Description,Price,Ratings,Review Count,URL
"Wireless Headphones, Tiksounds Bluetooth Headphones with Microphone, IPX7 Waterproof, HI-FI Stereo earphones, 150H Playtime with Charging Case, LED Display for Work/Sports/Game",£25.99,4.2 out of 5 stars,"14,211",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07273173LQXV24UTRIU3&url=%2FWireless-Headphones-Charging-Immersive-Waterproof-Black%2Fdp%2FB08B3QSV16%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1631704308%26sr%3D8-1-spons%26psc%3D1&qualifier=1631704308&id=5661733171334833&widgetName=sp_atf
"JBL Tune 225 TWS In-Ear Earphones - True wireless headphones with up to 25 hours of battery life with charging case, feel the music with JBL Pure Bass sound, in black",£59.00,4.2 out of 5 stars,"1,584",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A1007574KGD2Y361Q5H5&url=%2FJBL-Tune-225-Ear-Earphones-Black%2Fdp%2FB086WZWJMQ%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1631704308%26sr%3D8-2-spons%26psc%3D1&qualifier=1631704308&id=5661733171334833&widgetName=sp_atf
"DOQAUS Bluetooth Headphones Over Ear, [52 Hrs Playtime] Wireless Headphones, 3 EQ Modes, Foldable Hi-Fi Stereo Bass Headphones, Soft Memory Protein Earmuffs, Built-in Mic ＆ Wired Mode for Phone/PC/TV",£28.04,4.5 out of 5 stars,"16,929",https://www.amazon.co.uk//DOQAUS-Bluetooth-Headphones-Playtime-Microphone-Black/dp/B07Q1YXVWH/ref=sr_1_3?dchild=1&keywords=headphones&qid=1631704308&qsid=257-4916782-0421462&smid=AC7NJ3WE5HQ1K&sr=8-3&sres=B07Q1YXVWH%2CB00NBR70DO%2CB07QLWMDLC%2CB07WD58H6R%2CB08HMWZBXC%2CB07T1KZQV9%2CB07SJR6HL3%2CB08B3QSV16%2CB07K1T1WWF%2CB07K776ZK6%2CB07NM3RSRQ%2CB01M1EEPOB%2CB00I3LV336%2CB086LLYK4S%2CB07YVXR5ML%2CB07RVC23SG
Sony MDR-ZX110 Overhead Headphones - Black,£12.65,4.5 out of 5 stars,"6,965",https://www.amazon.co.uk//Sony-MDRZX110B-AE-Headphones-Black/dp/B00NBR70DO/ref=sr_1_4?dchild=1&keywords=headphones&qid=1631704308&qsid=257-4916782-0421462&sr=8-4&sres=B07Q1YXVWH%2CB00NBR70DO%2CB07QLWMDLC%2CB07WD58H6R%2CB08HMWZBXC%2CB07T1KZQV9%2CB07SJR6HL3%2CB08B3QSV16%2CB07K1T1WWF%2CB07K776ZK6%2CB07NM3RSRQ%2CB01M1EEPOB%2CB00I3LV336%2CB086LLYK4S%2CB07YVXR5ML%2CB07RVC23SG
"Blukar Earphones, In-Ear Headphones Earphones High Sensitivity Microphone – Noise Isolating, High Definition, Pure Sound for iPhone, iPad, Smartphone, MP3 Players etc.",£8.99,4.3 out of 5 stars,"17,782",https://www.amazon.co.uk//Earphones-Blukar-Headphones-Sensitivity-Microphone-Silver/dp/B07QLWMDLC/ref=sr_1_5?dchild=1&keywords=headphones&qid=1631704308&qsid=257-4916782-0421462&sr=8-5&sres=B07Q1YXVWH%2CB00NBR70DO%2CB07QLWMDLC%2CB07WD58H6R%2CB08HMWZBXC%2CB07T1KZQV9%2CB07SJR6HL3%2CB08B3QSV16%2CB07K1T1WWF%2CB07K776ZK6%2CB07NM3RSRQ%2CB01M1EEPOB%2CB00I3LV336%2CB086LLYK4S%2CB07YVXR5ML%2CB07RVC23SG
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",£32.84,4.6 out of 5 stars,"9,099",https://www.amazon.co.uk//Sony-Wh-CH510-Headphones-Hands-Free-Assistant-black/dp/B07WD58H6R/ref=sr_1_6?dchild=1&keywords=headphones&qid=1631704308&qsid=257-4916782-0421462&sr=8-6&sres=B07Q1YXVWH%2CB00NBR70DO%2CB07QLWMDLC%2CB07WD58H6R%2CB08HMWZBXC%2CB07T1KZQV9%2CB07SJR6HL3%2CB08B3QSV16%2CB07K1T1WWF%2CB07K776ZK6%2CB07NM3RSRQ%2CB01M1EEPOB%2CB00I3LV336%2CB086LLYK4S%2CB07YVXR5ML%2CB07RVC23SG
"Amazon Brand – Umi Bluetooth 5.0 IPX7 W5s True Wireless Earbud Headphones for iPhone, Samsung, Huawei with Patented Intelligent Metal Charging Case (Grey)",£29.99,4.2 out of 5 stars,"21,698",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06334213Q585C9837TC6&url=%2FUMI-Bluetooth-headphones-earphones-intelligent-GREY%2Fdp%2FB07N428SG9%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1631704308%26sr%3D8-7-spons%26psc%3D1&qualifier=1631704308&id=5661733171334833&widgetName=sp_mtf
"60 Hrs Wireless Headphones Over Ear, Hi-Fi Stereo Rechargeable Headset, Foldable Wired/Wireless USB Headset, Soft Memory Protein Earmuffs for Prolonged Wearing, Built-in Mic, Volume Control, Phone PC",£9.99,4.4 out of 5 stars,18,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A10111543FKP4GPJHUB7R&url=%2FWireless-Headphones-Rechargeable-Foldable-Prolonged-1-Black%2Fdp%2FB09985XQYJ%2Fref%3Dsr_1_8_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1631704308%26sr%3D8-8-spons%26psc%3D1&qualifier=1631704308&id=5661733171334833&widgetName=sp_mtf
"Soundcore by Anker Life Q30 Hybrid Active Noise Cancelling Headphones with Multiple Modes, Hi-Res Sound, Custom EQ via App, 40H Playtime, Comfortable Fit, Bluetooth Headphones, Connect to 2 Devices",£79.31,4.6 out of 5 stars,"2,788",https://www.amazon.co.uk//Soundcore-Cancelling-Headphones-Multiple-Bluetooth-Black/dp/B08HMWZBXC/ref=sr_1_9?dchild=1&keywords=headphones&qid=1631704308&qsid=257-4916782-0421462&sr=8-9&sres=B07Q1YXVWH%2CB00NBR70DO%2CB07QLWMDLC%2CB07WD58H6R%2CB08HMWZBXC%2CB07T1KZQV9%2CB07SJR6HL3%2CB08B3QSV16%2CB07K1T1WWF%2CB07K776ZK6%2CB07NM3RSRQ%2CB01M1EEPOB%2CB00I3LV336%2CB086LLYK4S%2CB07YVXR5ML%2CB07RVC23SG
"6S Wireless Headphones Over Ear, [52 Hrs Playtime] Hi-Fi Stereo Foldable Wireless Stereo Headsets Earbuds with Built-in Mic,Volume Control, FM (Black & Gold)",£16.14,4.3 out of 5 stars,"18,713",https://www.amazon.co.uk//Wireless-Headphones-Foldable-Headsets-Earbuds-Black-Gold/dp/B07T1KZQV9/ref=sr_1_10?dchild=1&keywords=headphones&qid=1631704308&qsid=257-4916782-0421462&smid=ATS3YKW45E415&sr=8-10&sres=B07Q1YXVWH%2CB00NBR70DO%2CB07QLWMDLC%2CB07WD58H6R%2CB08HMWZBXC%2CB07T1KZQV9%2CB07SJR6HL3%2CB08B3QSV16%2CB07K1T1WWF%2CB07K776ZK6%2CB07NM3RSRQ%2CB01M1EEPOB%2CB00I3LV336%2CB086LLYK4S%2CB07YVXR5ML%2CB07RVC23SG
